id,image,subject,predicate,object,verdict (y/n),notes
59,059.png,book4,under,cube8,y,
60,060.png,book12,under,cube6,y,
61,061.png,box7,under,cube3,y,
62,062.png,cube8,to the right of,cube7,n,
63,063.png,remote7,on,cube2,n,
64,064.png,bottle2,to the left of,cube3,n,
65,065.png,book2,in front of,book6,y,
66,066.png,remote7,under,bottle5,n,
67,067.png,box4,near,bottle1,y,
68,068.png,book2,near,cube3,y,
69,069.png,cube10,to the right of,remote14,y,
70,070.png,book2,in front of,cube9,n,
71,071.png,box2,to the left of,bottle3,y,
72,072.png,bottle8,on,bottle6,n,
73,073.png,human11,behind,cube2,y,
74,074.png,cube8,in front of,box6,y,
75,075.png,bottle5,on,remote7,n,
76,076.png,cube0,behind,book9,y,
77,077.png,book1,behind,book9,y,
78,078.png,box0,behind,bottle2,y,
79,079.png,cube10,under,cube9,n,
80,080.png,box1,to the left of,cube13,y,
81,081.png,cube5,on,cube8,y,
82,082.png,cube8,near,cube9,n,
83,083.png,cube6,in front of,bottle7,y,
84,084.png,human10,in front of,bottle0,n,
85,085.png,cube6,behind,bottle5,y,
86,086.png,box8,under,cube6,y,
87,087.png,box0,to the left of,remote7,y,
88,088.png,cube3,under,bottle2,n,
89,089.png,cube4,to the right of,cube11,y,
90,090.png,book0,to the left of,bottle2,y,
91,091.png,box0,in front of,box2,y,
92,092.png,cube1,under,cube0,y,
93,093.png,cube2,on,book6,y,
94,094.png,book1,near,book4,n,
95,095.png,box1,in front of,bottle2,y,
96,096.png,cube8,on,book4,y,
97,097.png,book3,under,cube7,y,
98,098.png,cube3,on,cube5,n,
99,099.png,cube9,on,remote7,n,
100,100.png,bottle6,near,human12,n,
101,101.png,book7,in front of,book1,y,
102,102.png,cube0,on,cube1,n,
103,103.png,book11,near,cube10,y,
104,104.png,book6,to the right of,cube3,y,
105,105.png,cube10,to the left of,box12,y,
106,106.png,cube12,behind,book9,n,
107,107.png,book3,to the right of,human5,y,
108,108.png,bottle0,near,book4,y,
109,109.png,book10,near,book9,y,
110,110.png,bottle4,behind,cube8,y,
111,111.png,bottle7,to the right of,box1,y,
112,112.png,bottle2,on,remote4,n,
113,113.png,book2,behind,book10,y,
114,114.png,book3,to the left of,bottle6,n,
115,115.png,bottle1,in front of,human5,y,
116,116.png,cube8,on,bottle6,n,
117,117.png,box0,to the right of,cube7,n,
118,118.png,bottle6,under,cube8,n,
119,119.png,book5,to the right of,book15,y,
120,120.png,bottle5,to the right of,bottle9,y,
121,121.png,bottle4,in front of,box5,y,
122,122.png,cube9,on,cube10,n,
123,123.png,book1,to the right of,cube11,y,
124,124.png,box11,under,book12,y,
125,125.png,book13,under,book12,n,
126,126.png,box4,under,cube5,y,
127,127.png,cube3,under,bottle7,n,
128,128.png,cube8,on,book12,y,
129,129.png,cube10,on,remote6,n,
130,130.png,cube1,on,bottle3,n,
131,131.png,book1,under,cube0,y,
132,132.png,book4,near,book2,n,
133,133.png,book0,to the right of,book2,y,
134,134.png,box4,near,human7,n,
135,135.png,human5,in front of,human6,n,
136,136.png,cube7,behind,book13,y,
137,137.png,bottle7,in front of,cube5,y,
138,138.png,cube11,to the left of,human9,y,
139,139.png,bottle6,to the right of,cube9,y,
140,140.png,book2,behind,book0,y,
141,141.png,bottle5,to the left of,book2,y,
142,142.png,remote5,to the left of,book6,y,
143,143.png,box0,behind,box1,y,
144,144.png,book1,to the right of,bottle6,n,
145,145.png,book2,to the right of,cube1,n,
146,146.png,book4,under,cube11,y,
147,147.png,box1,in front of,cube6,y,
148,148.png,book4,to the right of,box6,y,
149,149.png,remote4,under,bottle8,n,
150,150.png,cube5,near,box0,y,
151,151.png,bottle1,to the right of,bottle7,y,
152,152.png,box5,to the left of,cube2,y,
153,153.png,book4,near,bottle10,y,
154,154.png,cube2,to the left of,bottle6,y,
155,155.png,cube5,to the left of,box2,n,
156,156.png,cube0,behind,book4,y,
157,157.png,cube6,to the left of,box4,y,
158,158.png,box3,behind,cube8,y,
159,159.png,remote8,near,bottle0,y,
160,160.png,human3,near,book9,n,
161,161.png,cube8,near,book9,y,
162,162.png,human13,behind,bottle5,y,
163,163.png,remote4,under,cube3,n,
164,164.png,cube9,in front of,book3,n,
165,165.png,cube8,in front of,cube11,y,
166,166.png,cube10,under,bottle5,n,
167,167.png,book11,under,box10,y,
168,168.png,human2,to the left of,book3,y,
169,169.png,book1,in front of,book2,y,
170,170.png,box6,to the left of,book13,n,
171,171.png,cube10,near,book2,y,
172,172.png,book6,near,box4,y,
173,173.png,cube5,on,remote3,n,
174,174.png,box5,on,cube4,n,
175,175.png,bottle8,on,remote4,n,
176,176.png,human13,to the right of,book3,y,
177,177.png,box1,near,remote4,y,
178,178.png,remote3,behind,cube0,y,
179,179.png,book4,to the left of,bottle8,y,
180,180.png,human3,in front of,human4,y,
181,181.png,book6,to the right of,book1,y,
182,182.png,book12,behind,cube6,n,
183,183.png,remote4,to the left of,cube8,y,
184,184.png,cube7,under,bottle6,n,
185,185.png,cube12,near,book7,y,
186,186.png,book0,in front of,human13,y,
187,187.png,cube8,on,book9,y,
188,188.png,box6,under,book5,y,
189,189.png,cube6,to the right of,bottle5,y,
190,190.png,remote14,behind,cube11,y,
191,191.png,cube7,to the left of,book13,y,
192,192.png,box4,behind,book2,y,
193,193.png,cube10,in front of,remote15,n,
194,194.png,cube11,to the right of,human12,y,
195,195.png,human14,near,cube12,n,
196,196.png,book11,on,book12,n,
197,197.png,cube8,under,remote15,n,
198,198.png,bottle3,under,cube1,n,
199,199.png,human4,behind,bottle1,y,
200,200.png,cube4,to the right of,remote7,y,
201,201.png,cube7,in front of,cube9,y,
202,202.png,remote8,under,cube10,n,
203,203.png,bottle2,on,cube3,n,
204,204.png,book6,on,box8,y,
205,205.png,book12,under,cube8,y,
206,206.png,box5,under,book4,y,
207,207.png,cube8,on,book4,y,
208,208.png,book3,to the left of,bottle5,y,
209,209.png,cube5,under,cube3,y,
210,210.png,cube7,under,remote4,n,
211,211.png,book2,behind,cube10,y,
212,212.png,cube8,under,bottle1,n,
213,213.png,remote4,under,cube6,n,
214,214.png,box5,behind,cube0,y,
215,215.png,remote6,under,cube10,n,
216,216.png,box8,under,book9,y,
217,217.png,human8,to the right of,book2,y,
218,218.png,book8,under,cube9,y,
219,219.png,book0,on,box1,y,
