id,image,subject,predicate,object,verdict (y/n),notes
71,071.png,book5,in front of,bottle6,n,
72,072.png,book8,to the left of,remote7,y,
73,073.png,box3,under,cube2,y,
74,074.png,cube10,behind,cube9,n,
75,075.png,cube7,in front of,cube1,n,
76,076.png,cube6,on,remote4,n,
77,077.png,bottle5,on,cube10,n,
78,078.png,bottle8,under,bottle10,n,
79,079.png,cube12,to the right of,remote15,y,
80,080.png,box1,behind,book3,y,
81,081.png,book0,on,book2,n,
82,082.png,human13,behind,book3,y,
83,083.png,book0,to the left of,cube8,y,
84,084.png,cube8,on,book4,y,
85,085.png,box6,behind,cube5,y,
86,086.png,cube7,on,remote10,n,
87,087.png,box6,behind,bottle4,y,
88,088.png,bottle6,in front of,box0,y,
89,089.png,book2,in front of,cube6,y,
90,090.png,bottle1,on,cube11,n,
91,091.png,box6,to the right of,human9,y,
92,092.png,box12,under,book8,n,
93,093.png,box3,on,cube2,n,
94,094.png,cube3,on,cube5,n,
95,095.png,bottle8,on,bottle6,n,
96,096.png,cube13,under,bottle1,n,
97,097.png,cube5,to the left of,cube7,y,
98,098.png,cube5,under,cube3,n,
99,099.png,cube0,in front of,cube2,y,
100,100.png,cube4,on,bottle0,n,
101,101.png,cube12,to the right of,book2,y,
102,102.png,bottle13,to the left of,cube2,y,
103,103.png,box0,to the right of,box8,n,
104,104.png,cube3,under,cube6,n,
105,105.png,remote7,to the left of,cube8,y,
106,106.png,book11,under,book10,y,
107,107.png,bottle11,behind,cube5,y,
108,108.png,box8,on,box10,y,
109,109.png,box5,under,cube6,n,
110,110.png,book9,on,book11,n,
111,111.png,book7,near,cube1,n,
112,112.png,cube6,to the right of,book8,y,
113,113.png,book0,on,cube3,n,
114,114.png,book10,to the right of,cube7,y,
115,115.png,cube3,under,bottle2,n,
116,116.png,book3,to the left of,remote11,y,
117,117.png,cube11,in front of,human8,y,
118,118.png,cube8,to the right of,cube3,y,
119,119.png,book9,under,cube8,y,
120,120.png,cube8,under,cube5,y,
121,121.png,bottle10,in front of,book13,y,
122,122.png,cube6,on,box8,y,
123,123.png,cube0,to the right of,cube11,y,
124,124.png,human13,to the left of,book3,y,
125,125.png,bottle5,under,book6,n,
126,126.png,cube6,on,cube5,n,
127,127.png,remote4,near,bottle1,y,
128,128.png,bottle2,on,remote4,y,
129,129.png,cube8,on,book9,y,
130,130.png,book7,on,box4,n,
131,131.png,cube5,near,book12,y,
132,132.png,book12,behind,book9,y,
133,133.png,cube2,under,box3,n,
134,134.png,cube9,behind,bottle5,y,
135,135.png,cube3,near,cube6,y,
136,136.png,remote10,to the left of,book2,y,
137,137.png,cube3,in front of,bottle2,y,
138,138.png,cube3,behind,box1,y,
139,139.png,cube2,to the right of,remote7,y,
140,140.png,box5,under,book4,y,
141,141.png,cube4,to the right of,bottle0,y,
142,142.png,cube11,under,cube8,n,
143,143.png,book4,under,cube9,y,
144,144.png,book11,to the right of,cube7,y,
145,145.png,cube10,on,remote6,n,
146,146.png,book7,near,cube8,y,
147,147.png,bottle8,on,remote4,y,
148,148.png,cube5,behind,cube0,y,
149,149.png,human2,behind,remote6,y,
150,150.png,bottle10,to the left of,box4,y,
151,151.png,book11,in front of,book2,y,
152,152.png,cube9,on,cube11,y,
153,153.png,cube8,in front of,bottle7,y,
154,154.png,cube8,near,box6,n,
155,155.png,book2,under,cube3,y,
156,156.png,book2,near,book10,y,
157,157.png,book6,near,bottle5,y,
158,158.png,cube5,under,book2,n,
159,159.png,remote6,under,cube10,n,
160,160.png,box8,under,book9,y,
161,161.png,cube9,in front of,remote15,y,
162,162.png,remote4,to the left of,bottle7,n,
163,163.png,book1,behind,remote8,y,
164,164.png,cube5,near,cube9,y,
165,165.png,cube11,near,box13,y,
166,166.png,book3,to the left of,human4,y,
167,167.png,book2,to the right of,bottle5,y,
168,168.png,book2,to the right of,book4,n,
169,169.png,cube11,in front of,book2,y,
170,170.png,bottle3,under,cube2,n,
171,171.png,cube10,on,remote8,n,
172,172.png,cube10,in front of,bottle5,y,
173,173.png,book2,on,book8,y,
174,174.png,cube11,near,cube8,y,
175,175.png,box1,under,cube2,y,
176,176.png,cube12,in front of,book5,y,
177,177.png,bottle9,near,book2,y,
178,178.png,cube8,in front of,human10,y,
179,179.png,book11,near,book12,y,
180,180.png,book2,to the left of,book11,y,
181,181.png,cube5,to the left of,book4,y,
182,182.png,book12,behind,cube7,y,
183,183.png,book1,to the left of,box7,n,
184,184.png,bottle5,under,cube11,n,
185,185.png,cube0,near,book7,y,
186,186.png,remote7,under,bottle5,n,
187,187.png,book7,near,bottle0,y,
188,188.png,human11,in front of,book1,n,
189,189.png,cube2,on,book6,y,
190,190.png,bottle8,in front of,book10,y,
191,191.png,bottle6,under,cube10,n,
192,192.png,book3,on,box4,y,
193,193.png,cube8,under,bottle3,n,
194,194.png,bottle5,near,box0,y,
195,195.png,book9,behind,book2,y,
196,196.png,bottle2,to the left of,book9,y,
197,197.png,box4,to the right of,bottle5,y,
198,198.png,book5,under,cube4,y,
199,199.png,box6,under,book9,n,
200,200.png,book7,to the right of,cube8,y,
201,201.png,book7,under,cube8,y,
202,202.png,cube8,behind,remote11,y,
203,203.png,bottle5,to the right of,box4,y,
204,204.png,book10,under,cube12,y,
205,205.png,remote7,under,box6,n,
206,206.png,box2,in front of,human4,y,
207,207.png,book9,to the right of,human2,y,
208,208.png,box1,to the left of,book11,y,
209,209.png,bottle1,behind,book12,y,
210,210.png,box7,near,bottle6,y,
211,211.png,book9,under,cube10,y,
212,212.png,cube10,to the left of,cube3,y,
213,213.png,box0,under,box2,n,
214,214.png,cube9,in front of,cube7,y,
215,215.png,bottle7,to the left of,box6,y,
216,216.png,box7,to the left of,book1,y,
217,217.png,box5,in front of,box0,y,
218,218.png,box5,on,cube4,n,
219,219.png,cube3,to the left of,bottle4,y,
220,220.png,cube13,near,book9,y,
221,221.png,cube14,on,book13,y,
222,222.png,remote4,under,bottle8,y,
223,223.png,human11,to the left of,book0,y,
224,224.png,cube12,to the left of,box7,n,
225,225.png,cube11,under,remote14,n,
226,226.png,remote8,to the left of,cube7,y,
227,227.png,book3,near,bottle4,y,
228,228.png,cube3,in front of,cube6,y,
229,229.png,cube7,on,book0,n,
230,230.png,box3,under,book2,y,
231,231.png,book4,behind,cube11,n,
232,232.png,box2,on,box0,n,
233,233.png,book4,to the right of,book5,y,
234,234.png,cube11,on,book4,y,
235,235.png,book5,in front of,box2,y,
236,236.png,book9,under,box8,y,
237,237.png,book1,in front of,book6,y,
238,238.png,cube10,behind,book8,y,
239,239.png,book0,near,cube12,y,
240,240.png,book4,to the left of,book2,n,
241,241.png,box3,under,bottle8,n,
242,242.png,remote8,under,cube10,,
